amc_name,scenario,current_aum_cr,year_1_aum_cr,year_2_aum_cr,year_3_aum_cr
360 ONE,Base Case,13193.8787,14777.1441,16550.4014,18536.4496
360 ONE,Bear Case,13193.8787,13985.5114,14824.6421,15714.1206
360 ONE,Bull Case,13193.8787,15568.7769,18371.1567,21677.9649
Abakkus,Base Case,3129.4719,3505.0085,3925.6096,4396.6827
Abakkus,Bear Case,3129.4719,3317.2402,3516.2746,3727.2511
Abakkus,Bull Case,3129.4719,3692.7768,4357.4767,5141.8225
Aditya Birla Sun Life,Base Case,435865.9589,488169.8740,546750.2588,612360.2899
Aditya Birla Sun Life,Bear Case,435865.9589,462017.9164,489738.9914,519123.3309
Aditya Birla Sun Life,Bull Case,435865.9589,514321.8315,606899.7612,716141.7182
Angel One,Base Case,419.3073,469.6242,525.9791,589.0966
Angel One,Bear Case,419.3073,444.4657,471.1337,499.4017
Angel One,Bull Case,419.3073,494.7826,583.8435,688.9353
Axis,Base Case,359601.2478,402753.3975,451083.8052,505213.8619
Axis,Bear Case,359601.2478,381177.3227,404047.9620,428290.8397
Axis,Bull Case,359601.2478,424329.4724,500708.7774,590836.3574
Bajaj Finserv,Base Case,30626.5674,34301.7555,38417.9661,43028.1221
Bajaj Finserv,Bear Case,30626.5674,32464.1614,34412.0111,36476.7318
Bajaj Finserv,Bull Case,30626.5674,36139.3495,42644.4324,50320.4303
Bandhan,Base Case,195325.0897,218764.1005,245015.7925,274417.6876
Bandhan,Bear Case,195325.0897,207044.5951,219467.2708,232635.3070
Bandhan,Bull Case,195325.0897,230483.6058,271970.6549,320925.3728
Bank of India,Base Case,14170.8727,15871.3774,17775.9427,19909.0558
Bank of India,Bear Case,14170.8727,15021.1251,15922.3926,16877.7361
Bank of India,Bull Case,14170.8727,16721.6298,19731.5231,23283.1973
Baroda BNP Paribas,Base Case,54607.9540,61160.9085,68500.2175,76720.2436
Baroda BNP Paribas,Bear Case,54607.9540,57884.4312,61357.4971,65038.9469
Baroda BNP Paribas,Bull Case,54607.9540,64437.3857,76036.1151,89722.6159
