amc_name,scenario,revenue_yield,current_revenue_cr,revenue_y1_cr,revenue_y2_cr,revenue_y3_cr
360 ONE,Base Case,0.0075,97.9000,109.6480,122.8057,137.5424
360 ONE,Bear Case,0.0075,97.9000,103.7740,110.0004,116.6005
360 ONE,Bull Case,0.0075,97.9000,115.5220,136.3159,160.8528
Abakkus,Base Case,0.0075,41.8500,46.8720,52.4966,58.7962
Abakkus,Bear Case,0.0075,41.8500,44.3610,47.0227,49.8440
Abakkus,Bull Case,0.0075,41.8500,49.3830,58.2719,68.7609
Aditya Birla Sun Life,Base Case,0.0075,3207.5600,3592.4672,4023.5632,4506.3908
Aditya Birla Sun Life,Bear Case,0.0075,3207.5600,3400.0136,3604.0144,3820.2553
Aditya Birla Sun Life,Bull Case,0.0075,3207.5600,3784.9208,4466.2065,5270.1237
Angel One,Base Case,0.0075,4.2400,4.7488,5.3186,5.9568
Angel One,Bear Case,0.0075,4.2400,4.4944,4.7640,5.0499
Angel One,Bull Case,0.0075,4.2400,5.0032,5.9037,6.9664
Axis,Base Case,0.0075,2767.7300,3099.8576,3471.8405,3888.4614
Axis,Bear Case,0.0075,2767.7300,2933.7938,3109.8214,3296.4107
Axis,Bull Case,0.0075,2767.7300,3265.9214,3853.7872,4547.4689
Bajaj Finserv,Base Case,0.0075,247.7000,277.4240,310.7149,348.0006
Bajaj Finserv,Bear Case,0.0075,247.7000,262.5620,278.3157,295.0146
Bajaj Finserv,Bull Case,0.0075,247.7000,292.2860,344.8975,406.9790
Bandhan,Base Case,0.0075,1530.3500,1713.9920,1919.6710,2150.0316
Bandhan,Bear Case,0.0075,1530.3500,1622.1710,1719.5013,1822.6713
Bandhan,Bull Case,0.0075,1530.3500,1805.8130,2130.8593,2514.4140
Bank of India,Base Case,0.0075,115.8400,129.7408,145.3097,162.7469
Bank of India,Bear Case,0.0075,115.8400,122.7904,130.1579,137.9673
Bank of India,Bull Case,0.0075,115.8400,136.6912,161.2957,190.3289
Baroda BNP Paribas,Base Case,0.0075,398.6100,446.4432,500.0164,560.0183
Baroda BNP Paribas,Bear Case,0.0075,398.6100,422.5266,447.8782,474.7509
Baroda BNP Paribas,Bull Case,0.0075,398.6100,470.3598,555.0246,654.9290
Canara Robeco,Base Case,0.0075,890.4600,997.3152,1116.9930,1251.0322
Canara Robeco,Bear Case,0.0075,890.4600,943.8876,1000.5208,1060.5521
Canara Robeco,Bull Case,0.0075,890.4600,1050.7428,1239.8765,1463.0542
Capitalmind,Base Case,0.0075,4.2700,4.7824,5.3563,5.9990
Capitalmind,Bear Case,0.0075,4.2700,4.5262,4.7978,5.0856
Capitalmind,Bull Case,0.0075,4.2700,5.0386,5.9455,7.0157
Choice,Base Case,0.0075,0.6200,0.6944,0.7777,0.8710
Choice,Bear Case,0.0075,0.6200,0.6572,0.6966,0.7384
Choice,Bull Case,0.0075,0.6200,0.7316,0.8633,1.0186
DSP,Base Case,0.0075,1723.5100,1930.3312,2161.9709,2421.4074
DSP,Bear Case,0.0075,1723.5100,1826.9206,1936.5358,2052.7280
DSP,Bull Case,0.0075,1723.5100,2033.7418,2399.8153,2831.7821
Edelweiss,Base Case,0.0075,1282.1300,1435.9856,1608.3039,1801.3004
Edelweiss,Bear Case,0.0075,1282.1300,1359.0578,1440.6013,1527.0374
Edelweiss,Bull Case,0.0075,1282.1300,1512.9134,1785.2378,2106.5807
Franklin Templeton,Base Case,0.0075,945.1300,1058.5456,1185.5710,1327.8396
Franklin Templeton,Bear Case,0.0075,945.1300,1001.8378,1061.9480,1125.6649
Franklin Templeton,Bull Case,0.0075,945.1300,1115.2534,1315.9990,1552.8788
Groww,Base Case,0.0075,38.3000,42.8960,48.0435,53.8088
Groww,Bear Case,0.0075,38.3000,40.5980,43.0339,45.6159
Groww,Bull Case,0.0075,38.3000,45.1940,53.3289,62.9282
HDFC,Base Case,0.0075,7013.2500,7854.8400,8797.4208,9853.1113
HDFC,Bear Case,0.0075,7013.2500,7434.0450,7880.0877,8352.8930
HDFC,Bull Case,0.0075,7013.2500,8275.6350,9765.2493,11522.9942
HSBC,Base Case,0.0075,1072.5500,1201.2560,1345.4067,1506.8555
HSBC,Bear Case,0.0075,1072.5500,1136.9030,1205.1172,1277.4242
HSBC,Bull Case,0.0075,1072.5500,1265.6090,1493.4186,1762.2340
Helios,Base Case,0.0075,83.2700,93.2624,104.4539,116.9883
Helios,Bear Case,0.0075,83.2700,88.2662,93.5622,99.1759
Helios,Bull Case,0.0075,83.2700,98.2586,115.9451,136.8153
ICICI Prudential,Base Case,0.0075,8359.0800,9362.1696,10485.6300,11743.9056
ICICI Prudential,Bear Case,0.0075,8359.0800,8860.6248,9392.2623,9955.7980
ICICI Prudential,Bull Case,0.0075,8359.0800,9863.7144,11639.1830,13734.2359
IL&FS,Base Case,0.0075,6.9900,7.8288,8.7682,9.8204
IL&FS,Bear Case,0.0075,6.9900,7.4094,7.8539,8.3252
IL&FS,Bull Case,0.0075,6.9900,8.2482,9.7328,11.4847
ITI,Base Case,0.0075,84.7700,94.9424,106.3355,119.0958
ITI,Bear Case,0.0075,84.7700,89.8562,95.2476,100.9624
ITI,Bull Case,0.0075,84.7700,100.0286,118.0338,139.2798
