rank,amc_name,average_aum_cr,market_share_pct,period_start,period_end
1,SBI,1257352.288800,15.122463,2026-04-01,2026-06-30
2,ICICI Prudential,1114544.131400,13.404877,2026-04-01,2026-06-30
3,HDFC,935100.380400,11.246666,2026-04-01,2026-06-30
4,Nippon India,751518.711900,9.038687,2026-04-01,2026-06-30
5,Kotak Mahindra,590459.995300,7.101597,2026-04-01,2026-06-30
6,Aditya Birla Sun Life,427675.217300,5.143748,2026-04-01,2026-06-30
7,UTI,392691.065800,4.722985,2026-04-01,2026-06-30
8,Axis,369030.119200,4.438410,2026-04-01,2026-06-30
9,DSP,229801.598100,2.763876,2026-04-01,2026-06-30
10,Tata,228538.182500,2.748681,2026-04-01,2026-06-30
11,Mirae Asset,224952.416500,2.705554,2026-04-01,2026-06-30
12,Bandhan,204046.049700,2.454108,2026-04-01,2026-06-30
13,Edelweiss,170951.152800,2.056069,2026-04-01,2026-06-30
14,PPFAS,160807.101100,1.934064,2026-04-01,2026-06-30
15,Invesco,146008.701000,1.756080,2026-04-01,2026-06-30
16,HSBC,143007.231000,1.719981,2026-04-01,2026-06-30
17,Motilal Oswal,142529.984600,1.714241,2026-04-01,2026-06-30
18,Franklin Templeton,126017.405900,1.515640,2026-04-01,2026-06-30
19,Canara Robeco,118727.527900,1.427963,2026-04-01,2026-06-30
20,quant,95314.395000,1.146368,2026-04-01,2026-06-30
21,Sundaram,76928.706300,0.925239,2026-04-01,2026-06-30
22,Baroda BNP Paribas,53148.578900,0.639230,2026-04-01,2026-06-30
23,LIC,49534.921200,0.595768,2026-04-01,2026-06-30
24,WhiteOak Capital,37392.415800,0.449727,2026-04-01,2026-06-30
25,Mahindra Manulife,34786.370600,0.418384,2026-04-01,2026-06-30
26,Bajaj Finserv,33027.318000,0.397227,2026-04-01,2026-06-30
27,Union,28097.718200,0.337938,2026-04-01,2026-06-30
28,PGIM India,26639.932200,0.320405,2026-04-01,2026-06-30
29,Jio BlackRock,17978.902500,0.216236,2026-04-01,2026-06-30
30,Bank of India,15445.854700,0.185771,2026-04-01,2026-06-30
31,Zerodha,15373.419800,0.184900,2026-04-01,2026-06-30
32,JM Financial,13204.588700,0.158815,2026-04-01,2026-06-30
33,360 ONE,13053.468800,0.156997,2026-04-01,2026-06-30
34,ITI,11302.291300,0.135935,2026-04-01,2026-06-30
35,Helios,11103.258200,0.133541,2026-04-01,2026-06-30
36,Navi,9453.115700,0.113695,2026-04-01,2026-06-30
37,NJ,6922.322900,0.083256,2026-04-01,2026-06-30
38,Abakkus,5579.870800,0.067110,2026-04-01,2026-06-30
39,Groww,5106.382800,0.061416,2026-04-01,2026-06-30
40,Trust,5074.938000,0.061037,2026-04-01,2026-06-30
41,Old Bridge,3418.836800,0.041119,2026-04-01,2026-06-30
42,Quantum,3185.139600,0.038308,2026-04-01,2026-06-30
43,Samco,2522.125600,0.030334,2026-04-01,2026-06-30
44,Unifi,1497.421800,0.018010,2026-04-01,2026-06-30
45,The Wealth Company,1297.510100,0.015605,2026-04-01,2026-06-30
46,Shriram,1160.830000,0.013962,2026-04-01,2026-06-30
47,Taurus,1009.166000,0.012137,2026-04-01,2026-06-30
48,IL&FS,931.715200,0.011206,2026-04-01,2026-06-30
49,Capitalmind,569.139900,0.006845,2026-04-01,2026-06-30
50,Angel One,564.935400,0.006795,2026-04-01,2026-06-30
51,Choice,82.557000,0.000993,2026-04-01,2026-06-30
