amc_name,average_aum_cr,period_start,period_end,market_share_pct,rank
SBI,1248003.006700,2026-01-01,2026-03-31,15.305471,1
ICICI Prudential,1103751.318200,2026-01-01,2026-03-31,13.536373,2
HDFC,927451.268400,2026-01-01,2026-03-31,11.374234,3
Nippon India,724965.139200,2026-01-01,2026-03-31,8.890951,4
Kotak Mahindra,580950.239800,2026-01-01,2026-03-31,7.124756,5
Aditya Birla Sun Life,435865.958900,2026-01-01,2026-03-31,5.345447,6
UTI,388469.814200,2026-01-01,2026-03-31,4.764182,7
Axis,359601.247800,2026-01-01,2026-03-31,4.410139,8
Tata,227511.983700,2026-01-01,2026-03-31,2.790200,9
DSP,225399.629400,2026-01-01,2026-03-31,2.764294,10
