amc_name,aum_cr,month,ingested_at
360 ONE,13053.468799999997,April - June 2026,2026-09-03T15:06:07Z
Abakkus,5579.870800000001,April - June 2026,2026-09-03T15:06:07Z
Aditya Birla Sun Life,427675.21730000037,April - June 2026,2026-09-03T15:06:07Z
Angel One,564.9354,April - June 2026,2026-09-03T15:06:07Z
Axis,369030.1191999997,April - June 2026,2026-09-03T15:06:07Z
Bajaj Finserv,33027.31800000001,April - June 2026,2026-09-03T15:06:07Z
Bandhan,204046.0496999998,April - June 2026,2026-09-03T15:06:07Z
Bank of India,15445.8547,April - June 2026,2026-09-03T15:06:07Z
Baroda BNP Paribas,53148.578899999986,April - June 2026,2026-09-03T15:06:07Z
Canara Robeco,118727.52790000004,April - June 2026,2026-09-03T15:06:07Z
Capitalmind,569.1398999999999,April - June 2026,2026-09-03T15:06:07Z
Choice,82.557,April - June 2026,2026-09-03T15:06:07Z
DSP,229801.59810000035,April - June 2026,2026-09-03T15:06:07Z
Edelweiss,170951.15279999998,April - June 2026,2026-09-03T15:06:07Z
Franklin Templeton,126017.4059,April - June 2026,2026-09-03T15:06:07Z
Groww,5106.382800000003,April - June 2026,2026-09-03T15:06:07Z
HDFC,935100.3803999993,April - June 2026,2026-09-03T15:06:07Z
Helios,11103.2582,April - June 2026,2026-09-03T15:06:07Z
HSBC,143007.2309999999,April - June 2026,2026-09-03T15:06:07Z
ICICI Prudential,1114544.1314,April - June 2026,2026-09-03T15:06:07Z
IL&FS,931.7152000000001,April - June 2026,2026-09-03T15:06:07Z
Invesco,146008.70100000015,April - June 2026,2026-09-03T15:06:07Z
ITI,11302.291300000004,April - June 2026,2026-09-03T15:06:07Z
Jio BlackRock,17978.902500000004,April - June 2026,2026-09-03T15:06:07Z
JM Financial,13204.5887,April - June 2026,2026-09-03T15:06:07Z
Kotak Mahindra,590459.9953000002,April - June 2026,2026-09-03T15:06:07Z
LIC,49534.92120000002,April - June 2026,2026-09-03T15:06:07Z
Mahindra Manulife,34786.37059999999,April - June 2026,2026-09-03T15:06:07Z
Mirae Asset,224952.41650000005,April - June 2026,2026-09-03T15:06:07Z
Motilal Oswal,142529.9846,April - June 2026,2026-09-03T15:06:07Z
Navi,9453.115699999998,April - June 2026,2026-09-03T15:06:07Z
Nippon India,751518.7118999995,April - June 2026,2026-09-03T15:06:07Z
NJ,6922.3229,April - June 2026,2026-09-03T15:06:07Z
Old Bridge,3418.8368,April - June 2026,2026-09-03T15:06:07Z
PGIM India,26639.932199999992,April - June 2026,2026-09-03T15:06:07Z
PPFAS,160807.10109999997,April - June 2026,2026-09-03T15:06:07Z
quant,95314.39499999996,April - June 2026,2026-09-03T15:06:07Z
Quantum,3185.1395999999995,April - June 2026,2026-09-03T15:06:07Z
Samco,2522.1255999999994,April - June 2026,2026-09-03T15:06:07Z
SBI,1257352.2888000002,April - June 2026,2026-09-03T15:06:07Z
Shriram,1160.83,April - June 2026,2026-09-03T15:06:07Z
Sundaram,76928.70630000002,April - June 2026,2026-09-03T15:06:07Z
Tata,228538.18250000002,April - June 2026,2026-09-03T15:06:07Z
Taurus,1009.1659999999999,April - June 2026,2026-09-03T15:06:07Z
The Wealth Company,1297.5101,April - June 2026,2026-09-03T15:06:07Z
Trust,5074.937999999999,April - June 2026,2026-09-03T15:06:07Z
Unifi,1497.4217999999998,April - June 2026,2026-09-03T15:06:07Z
Union,28097.71819999999,April - June 2026,2026-09-03T15:06:07Z
UTI,392691.06580000004,April - June 2026,2026-09-03T15:06:07Z
WhiteOak Capital,37392.4158,April - June 2026,2026-09-03T15:06:07Z
Zerodha,15373.419800000005,April - June 2026,2026-09-03T15:06:07Z
