amc_name,aum_cr,month,ingested_at
Aditya Birla Sun Life,4874.1573,January - March 2026,2026-06-11T20:47:05Z
Angel One,32.579100000000004,January - March 2026,2026-06-11T20:47:05Z
Axis,8299.252400000001,January - March 2026,2026-06-11T20:47:05Z
Bandhan,1961.7137,January - March 2026,2026-06-11T20:47:05Z
Baroda Bnp Paribas,398.94380000000007,January - March 2026,2026-06-11T20:47:05Z
Dsp,3222.7095,January - March 2026,2026-06-11T20:47:05Z
Edelweiss,24037.2141,January - March 2026,2026-06-11T20:47:05Z
Franklin Templeton,1381.6629,January - March 2026,2026-06-11T20:47:05Z
Groww,572.5158,January - March 2026,2026-06-11T20:47:05Z
Hdfc,25415.404599999994,January - March 2026,2026-06-11T20:47:05Z
Hsbc,730.3592000000001,January - March 2026,2026-06-11T20:47:05Z
Icici Prudential,60408.6801,January - March 2026,2026-06-11T20:47:05Z
Invesco,695.9512,January - March 2026,2026-06-11T20:47:05Z
Kotak Mahindra,18332.467600000004,January - March 2026,2026-06-11T20:47:05Z
Lic,745.9019000000001,January - March 2026,2026-06-11T20:47:05Z
Mahindra Manulife,26.3995,January - March 2026,2026-06-11T20:47:05Z
Mirae Asset,6528.982900000002,January - March 2026,2026-06-11T20:47:05Z
Motilal Oswal,8860.020799999998,January - March 2026,2026-06-11T20:47:05Z
Nippon India,15065.854600000002,January - March 2026,2026-06-11T20:47:05Z
Quantum,718.4617,January - March 2026,2026-06-11T20:47:05Z
Sbi,22596.373099999997,January - March 2026,2026-06-11T20:47:05Z
Sundaram,71.1346,January - March 2026,2026-06-11T20:47:05Z
Tata,2707.6602999999996,January - March 2026,2026-06-11T20:47:05Z
The Wealth Company,8.9298,January - March 2026,2026-06-11T20:47:05Z
Union,439.3319,January - March 2026,2026-06-11T20:47:05Z
Uti,2025.0339000000001,January - March 2026,2026-06-11T20:47:05Z
Zerodha,655.1408,January - March 2026,2026-06-11T20:47:05Z
