scheme_code,scheme_name,scheme_type,scheme_category,ter_date,regular_ter,direct_ter,ingested_at
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,2026-06-01,2.1,0.54,2026-06-15T07:38:50Z
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,2026-06-02,2.1,0.54,2026-06-15T07:38:50Z
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,2026-06-03,2.24,0.68,2026-06-15T07:38:50Z
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,2026-06-04,2.3,0.75,2026-06-15T07:38:50Z
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,2026-06-05,2.16,0.6,2026-06-15T07:38:50Z
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,2026-06-06,2.1,0.54,2026-06-15T07:38:50Z
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,2026-06-07,2.1,0.54,2026-06-15T07:38:50Z
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,2026-06-08,2.1,0.54,2026-06-15T07:38:50Z
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,2026-06-09,2.1,0.54,2026-06-15T07:38:50Z
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,2026-06-10,2.1,0.54,2026-06-15T07:38:50Z
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,2026-06-11,2.1,0.54,2026-06-15T07:38:50Z
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,2026-06-12,2.1,0.54,2026-06-15T07:38:50Z
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,2026-06-13,2.1,0.54,2026-06-15T07:38:50Z
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Scheme - Balanced Hybrid Fund,2026-06-14,2.1,0.54,2026-06-15T07:38:50Z
360O/O/D/DBF/13/02/0001,360 ONE Dynamic Bond Fund,Open Ended,Debt Scheme - Dynamic Bond,2026-06-01,0.59,0.34,2026-06-15T07:38:50Z
360O/O/D/DBF/13/02/0001,360 ONE Dynamic Bond Fund,Open Ended,Debt Scheme - Dynamic Bond,2026-06-02,0.59,0.34,2026-06-15T07:38:50Z
360O/O/D/DBF/13/02/0001,360 ONE Dynamic Bond Fund,Open Ended,Debt Scheme - Dynamic Bond,2026-06-03,0.59,0.34,2026-06-15T07:38:50Z
360O/O/D/DBF/13/02/0001,360 ONE Dynamic Bond Fund,Open Ended,Debt Scheme - Dynamic Bond,2026-06-04,0.59,0.34,2026-06-15T07:38:50Z
360O/O/D/DBF/13/02/0001,360 ONE Dynamic Bond Fund,Open Ended,Debt Scheme - Dynamic Bond,2026-06-05,0.59,0.34,2026-06-15T07:38:50Z
360O/O/D/DBF/13/02/0001,360 ONE Dynamic Bond Fund,Open Ended,Debt Scheme - Dynamic Bond,2026-06-06,0.59,0.34,2026-06-15T07:38:50Z
360O/O/D/DBF/13/02/0001,360 ONE Dynamic Bond Fund,Open Ended,Debt Scheme - Dynamic Bond,2026-06-07,0.59,0.34,2026-06-15T07:38:50Z
