scheme_code,scheme_name,scheme_type,scheme_category,ter_date,regular_ter,direct_ter,ingested_at
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Schemes - Balanced Hybrid Fund,2026-09-01,2.19,0.62,2026-09-03T15:06:40Z
360O/O/H/BHF/23/07/0007,360 ONE Balanced Hybrid Fund,Open Ended,Hybrid Schemes - Balanced Hybrid Fund,2026-09-02,2.19,0.62,2026-09-03T15:06:40Z
360O/O/D/DBF/13/02/0001,360 ONE Dynamic Term Fund,Open Ended,Income/Debt Oriented Schemes - Dynamic Term Fund,2026-09-01,0.59,0.34,2026-09-03T15:06:40Z
360O/O/D/DBF/13/02/0001,360 ONE Dynamic Term Fund,Open Ended,Income/Debt Oriented Schemes - Dynamic Term Fund,2026-09-02,0.59,0.34,2026-09-03T15:06:40Z
360O/O/E/ELS/22/10/0005,360 ONE ELSS Tax Saver Nifty 50 Index Fund,Open Ended,Index Funds - Equity Funds,2026-09-01,0.62,0.37,2026-09-03T15:06:40Z
360O/O/E/ELS/22/10/0005,360 ONE ELSS Tax Saver Nifty 50 Index Fund,Open Ended,Index Funds - Equity Funds,2026-09-02,0.62,0.37,2026-09-03T15:06:40Z
360O/O/E/FCF/23/02/0006,360 ONE FLEXICAP FUND,Open Ended,Equity Schemes - Flexi Cap Fund,2026-09-01,2.38,0.94,2026-09-03T15:06:40Z
360O/O/E/FCF/23/02/0006,360 ONE FLEXICAP FUND,Open Ended,Equity Schemes - Flexi Cap Fund,2026-09-02,2.38,0.94,2026-09-03T15:06:40Z
360O/O/E/FOC/14/08/0003,360 ONE Focused Fund,Open Ended,Equity Schemes - Focused Fund,2026-09-01,2.15,1.21,2026-09-03T15:06:40Z
360O/O/E/FOC/14/08/0003,360 ONE Focused Fund,Open Ended,Equity Schemes - Focused Fund,2026-09-02,2.15,1.21,2026-09-03T15:06:40Z
360O/O/O/GET/25/01/0008,360 ONE GOLD ETF,Open Ended,Exchange Traded Funds (ETFs) - Gold ETF,2026-09-01,0.47,0.0,2026-09-03T15:06:40Z
360O/O/O/GET/25/01/0008,360 ONE GOLD ETF,Open Ended,Exchange Traded Funds (ETFs) - Gold ETF,2026-09-02,0.47,0.0,2026-09-03T15:06:40Z
360O/O/D/LIF/13/05/0002,360 ONE Liquid Fund,Open Ended,Income/Debt Oriented Schemes - Liquid Fund,2026-09-01,0.35,0.23,2026-09-03T15:06:40Z
360O/O/D/LIF/13/05/0002,360 ONE Liquid Fund,Open Ended,Income/Debt Oriented Schemes - Liquid Fund,2026-09-02,0.35,0.23,2026-09-03T15:06:40Z
360O/O/O/OET/26/04/0012,360 ONE MSCI India ETF,Open Ended,Exchange Traded Funds (ETFs) - Other ETF,2026-09-01,0.97,0.0,2026-09-03T15:06:40Z
360O/O/O/OET/26/04/0012,360 ONE MSCI India ETF,Open Ended,Exchange Traded Funds (ETFs) - Other ETF,2026-09-02,0.97,0.0,2026-09-03T15:06:40Z
360O/O/H /MAA/25/04/0011,360 ONE Multi Asset Allocation Fund,Open Ended,Hybrid Schemes - Multi Asset Allocation Fund,2026-09-01,2.17,0.6,2026-09-03T15:06:40Z
360O/O/H /MAA/25/04/0011,360 ONE Multi Asset Allocation Fund,Open Ended,Hybrid Schemes - Multi Asset Allocation Fund,2026-09-02,2.17,0.6,2026-09-03T15:06:40Z
360O/O/D /ONF/25/05/0010,360 ONE OVERNIGHT FUND,Open Ended,Income/Debt Oriented Schemes - Overnight Fund,2026-09-01,0.21,0.13,2026-09-03T15:06:40Z
360O/O/D /ONF/25/05/0010,360 ONE OVERNIGHT FUND,Open Ended,Income/Debt Oriented Schemes - Overnight Fund,2026-09-02,0.21,0.13,2026-09-03T15:06:40Z
360O/O/E/THE/21/10/0004,360 ONE QUANT FUND,Open Ended,Equity Schemes - Thematic Fund,2026-09-01,2.55,1.16,2026-09-03T15:06:40Z
360O/O/E/THE/21/10/0004,360 ONE QUANT FUND,Open Ended,Equity Schemes - Thematic Fund,2026-09-02,2.55,1.16,2026-09-03T15:06:40Z
360O/O/O/OET/25/01/0009,360 ONE SILVER ETF,Open Ended,Exchange Traded Funds (ETFs) - Silver ETF,2026-09-01,0.46,0.0,2026-09-03T15:06:40Z
360O/O/O/OET/25/01/0009,360 ONE SILVER ETF,Open Ended,Exchange Traded Funds (ETFs) - Silver ETF,2026-09-02,0.46,0.0,2026-09-03T15:06:40Z
ABKS/O/E/FCF/25/11/0002,Abakkus Flexi Cap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,2026-09-01,2.13,0.84,2026-09-03T15:06:40Z
ABKS/O/E/FCF/25/11/0002,Abakkus Flexi Cap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,2026-09-02,2.13,0.84,2026-09-03T15:06:40Z
ABKS/O/E/LMF/26/06/0005,Abakkus Large & Mid Cap Fund,Open Ended,Equity Scheme - Large & Mid Cap Fund,2026-09-01,4.7,3.21,2026-09-03T15:06:40Z
ABKS/O/E/LMF/26/06/0005,Abakkus Large & Mid Cap Fund,Open Ended,Equity Scheme - Large & Mid Cap Fund,2026-09-02,4.7,3.21,2026-09-03T15:06:40Z
ABKS/O/D/LIF/25/11/0001,Abakkus Liquid Fund,Open Ended,Income/Debt Oriented Schemes - Liquid Fund,2026-09-01,0.31,0.23,2026-09-03T15:06:40Z
