scheme_code,scheme_name,amc_name,category,isin_growth,isin_reinvestment,plan_type,option_type,nav,nav_date
152073,360 ONE Balanced Hybrid Fund,360 ONE Mutual Fund,Hybrid Schemes - Balanced Hybrid Fund,INF579M01AZ6,INF579M01BA7,Unknown,Other,13.7997,2026-09-02
152075,360 ONE Balanced Hybrid Fund,360 ONE Mutual Fund,Hybrid Schemes - Balanced Hybrid Fund,INF579M01AV5,,Unknown,Other,13.2041,2026-09-02
152076,360 ONE Balanced Hybrid Fund,360 ONE Mutual Fund,Hybrid Schemes - Balanced Hybrid Fund,INF579M01AY9,,Unknown,Other,13.7997,2026-09-02
152074,360 ONE Balanced Hybrid Fund,360 ONE Mutual Fund,Hybrid Schemes - Balanced Hybrid Fund,INF579M01AW3,INF579M01AX1,Unknown,Other,13.2041,2026-09-02
122720,360 ONE Dynamic Term Fund,360 ONE Mutual Fund,Income/Debt Oriented Schemes - Dynamic Term Fund,INF579M01225,INF579M01258,Unknown,Other,23.3078,2026-09-02
122719,360 ONE Dynamic Term Fund,360 ONE Mutual Fund,Income/Debt Oriented Schemes - Dynamic Term Fund,INF579M01209,INF579M01233,Unknown,Other,13.057,2026-09-02
122712,360 ONE Dynamic Term Fund,360 ONE Mutual Fund,Income/Debt Oriented Schemes - Dynamic Term Fund,INF579M01217,INF579M01241,Unknown,Other,23.3079,2026-09-02
122717,360 ONE Dynamic Term Fund,360 ONE Mutual Fund,Income/Debt Oriented Schemes - Dynamic Term Fund,INF579M01290,INF579M01324,Unknown,Other,23.5794,2026-09-02
122711,360 ONE Dynamic Term Fund,360 ONE Mutual Fund,Income/Debt Oriented Schemes - Dynamic Term Fund,INF579M01191,,Unknown,Other,24.1531,2026-09-02
122721,360 ONE Dynamic Term Fund,360 ONE Mutual Fund,Income/Debt Oriented Schemes - Dynamic Term Fund,INF579M01282,INF579M01316,Unknown,Other,14.1805,2026-09-02
122715,360 ONE Dynamic Term Fund,360 ONE Mutual Fund,Income/Debt Oriented Schemes - Dynamic Term Fund,INF579M01266,,Unknown,Other,25.5566,2026-09-02
122612,360 ONE Dynamic Term Fund,360 ONE Mutual Fund,Income/Debt Oriented Schemes - Dynamic Term Fund,INF579M01183,,Unknown,Other,24.1532,2026-09-02
151167,360 ONE ELSS Tax Saver Nifty 50 Index Fund,360 ONE Mutual Fund,Index Funds - Equity Funds,INF579M01AM4,,Unknown,Other,13.4826,2026-09-02
151166,360 ONE ELSS Tax Saver Nifty 50 Index Fund,360 ONE Mutual Fund,Index Funds - Equity Funds,INF579M01AO0,,Unknown,Other,13.6073,2026-09-02
151164,360 ONE ELSS Tax Saver Nifty 50 Index Fund,360 ONE Mutual Fund,Index Funds - Equity Funds,INF579M01AL6,,Unknown,Other,13.4826,2026-09-02
151165,360 ONE ELSS Tax Saver Nifty 50 Index Fund,360 ONE Mutual Fund,Index Funds - Equity Funds,INF579M01AN2,,Unknown,Other,13.6073,2026-09-02
151798,360 ONE Flexicap Fund,360 ONE Mutual Fund,Equity Schemes - Flexi Cap Fund,INF579M01AT9,INF579M01AU7,Unknown,Other,17.0553,2026-09-02
151797,360 ONE Flexicap Fund,360 ONE Mutual Fund,Equity Schemes - Flexi Cap Fund,INF579M01AQ5,INF579M01AR3,Unknown,Other,16.2338,2026-09-02
151799,360 ONE Flexicap Fund,360 ONE Mutual Fund,Equity Schemes - Flexi Cap Fund,INF579M01AP7,,Unknown,Other,16.2338,2026-09-02
151796,360 ONE Flexicap Fund,360 ONE Mutual Fund,Equity Schemes - Flexi Cap Fund,INF579M01AS1,,Unknown,Other,17.0553,2026-09-02
131581,360 ONE Focused Fund,360 ONE Mutual Fund,Equity Schemes - Focused Fund,INF579M01910,INF579M01928,Unknown,Other,55.1975,2026-09-02
131579,360 ONE Focused Fund,360 ONE Mutual Fund,Equity Schemes - Focused Fund,INF579M01886,INF579M01894,Unknown,Other,43.0501,2026-09-02
131578,360 ONE Focused Fund,360 ONE Mutual Fund,Equity Schemes - Focused Fund,INF579M01878,,Unknown,Other,48.6553,2026-09-02
