scheme_code,scheme_name,nav,nav_date,isin_growth,isin_reinvestment
100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,896.58,2026-06-12,INF209K01165,-
100034,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,130.58,2026-06-12,INF209K01157,INF209K01CE5
100037,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,13.0364,2026-06-12,INF209K01587,INF209K01CY3
100038,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,127.9572,2026-06-12,INF209K01579,-
100041,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,108.023,2026-06-14,-,INF209K01KN9
100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),723.2956,2026-06-14,INF209K01ME4,-
100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),742.251,2026-06-14,INF209K01RT1,-
100044,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,163.694,2026-06-14,-,INF209K01KP4
100046,Aditya Birla Sun Life Liquid Fund -Daily IDCW,100.195,2026-06-14,INF209K01KQ2,INF209K01SQ5
100047,Aditya Birla Sun Life Liquid Fund - Growth,445.7104,2026-06-14,INF209K01RU9,-
100048,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,108.2638,2026-06-14,INF209KA1LK7,INF209K01KY6
100051,Aditya Birla Sun Life Liquid Fund -weekly IDCW,100.2598,2026-06-14,INF209K01KU4,INF209KA1LJ9
100057,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,10.7428,2026-06-12,INF209K01AF6,INF209K01DP9
100058,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,80.4723,2026-06-12,INF209K01AC3,INF209K01AD1
100063,Aditya Birla Sun Life MNC Fund - Regular - IDCW,201.5,2026-06-12,INF209K01314,INF209K01CL0
100064,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,1252.97,2026-06-12,INF209K01322,-
100077,DSP Bond Fund - IDCW,11.5389,2026-06-12,INF740K01565,INF740K01995
100078,DSP Bond Fund - Growth,85.5902,2026-06-12,INF740K01557,-
100079,DSP Bond Fund - IDCW - Monthly,11.2891,2026-06-12,INF740K01573,INF740K01AA1
100080,DSP Flexi Cap Fund - Regular Plan - IDCW,56.411,2026-06-12,INF740K01011,INF740K01029
100081,DSP Aggressive Hybrid Fund- Regular Plan - Growth,344.453,2026-06-12,INF740K01318,-
100082,DSP Aggressive Hybrid Fund- Regular Plan - IDCW,26.65,2026-06-12,INF740K01326,INF740K01334
100084,DSP Gilt Fund - Regular Plan - Growth,96.8002,2026-06-12,INF740K01615,-
100085,DSP Gilt Fund - Regular Plan - IDCW,12.5456,2026-06-12,INF740K01607,INF740K01AD5
100086,DSP Gilt Fund - Regular Plan - IDCW - Monthly,10.7277,2026-06-12,INF740K01623,INF740K01AE3
100087,DSP Savings Fund - Regular Plan - Growth,55.6697,2026-06-12,INF740K01714,-
100088,DSP Savings Fund - Regular Plan - IDCW,12.3911,2026-06-12,INF740K01706,INF740K01AJ2
100089,DSP Savings Fund - Regular Plan - IDCW - Monthly,11.0476,2026-06-12,INF740K01722,INF740K01AK0
100119,HDFC Balanced Advantage Fund - Growth Plan,511.21,2026-06-12,INF179K01830,-
100120,HDFC Balanced Advantage Fund - IDCW Plan,35.945,2026-06-12,INF179K01814,INF179K01822
100123,HDFC Income Fund - Quarterly IDCW Option,11.4884,2026-06-12,INF179K01947,INF179K01954
100124,HDFC Income Fund - Growth Option,59.654,2026-06-12,INF179K01962,-
100174,quant ELSS Tax Saver Fund - IDCW Option - Regular Plan,54.4471,2026-06-12,INF966L01119,-
100175,quant ELSS Tax Saver Fund - Growth Option - Regular Plan,392.0965,2026-06-12,INF966L01135,-
100176,quant Small Cap Fund - IDCW Option - Regular Plan,214.7436,2026-06-12,INF206A01022,INF966L01044
100177,quant Small Cap Fund - Growth - Regular Plan,270.0317,2026-06-12,INF966L01AA0,-
100218,JM Large Cap Fund (Regular) - IDCW,28.5908,2026-06-12,INF192K01585,INF192K01593
100219,JM Large Cap Fund (Regular) - Growth Option,147.2815,2026-06-12,INF192K01601,-
100220,JM Aggressive Hybrid Fund (Regular) - IDCW,31.6767,2026-06-12,INF192K01528,INF192K01536
100221,JM Aggressive Hybrid Fund (Regular) -Growth Option,113.2562,2026-06-12,INF192K01544,-
100222,JM Medium to Long Duration Fund (Regular) - Quarterly IDCW,21.7574,2026-06-12,INF192K01999,INF192K01AA5
100223,JM Medium to Long Duration Fund (Regular) - Growth Option,63.9914,2026-06-12,INF192K01AB3,-
